date,department,category,description,amount,approved_by
2024-01-08,IT,Hardware,External monitors x2,€580.00,R.Marino
2024-01-11,IT,Software,GitHub Enterprise,€210.00,R.Marino
2024-01-15,IT,Hardware,Network switch replacement,€340.00,R.Marino
2024-01-19,IT,Software,Jira licences x8,€168.00,R.Marino
2024-01-22,IT,Security,Antivirus renewal x10,€290.00,R.Marino
2024-01-26,IT,Hardware,Laptop for new hire,€1100.00,R.Marino
2024-01-30,IT,Software,AWS monthly bill,€876.45,R.Marino
2024-02-04,IT,Security,Penetration testing service,€2800.00,R.Marino
2024-02-08,IT,Hardware,Keyboard and mouse sets x4,€180.00,R.Marino
2024-02-12,IT,Software,AWS monthly bill,€934.20,R.Marino
2024-02-15,IT,Hardware,UPS battery backup,€265.00,R.Marino
2024-02-19,IT,Security,SSL certificates renewal,€120.00,R.Marino
2024-02-22,IT,Software,Slack annual plan,€720.00,R.Marino
2024-02-27,IT,Hardware,Server RAM upgrade,€€490.00,R.Marino
