date,department,category,description,amount,approved_by
2024-01-04,Marketing,Software,Adobe Creative Cloud,€79.99,L.Bianchi
2024-01-09,Marketing,Advertising,Google Ads January budget,€1200.00,L.Bianchi
2024-01-11,Marketing,Events,Webinar platform fee,€149.00,L.Bianchi
2024-01-16,Marketing,Software,Mailchimp subscription,€55.00,L.Bianchi
2024-01-20,Marketing,Advertising,LinkedIn campaign,€650.00,L.Bianchi
2024-01-24,Marketing,Meals,Agency briefing lunch,€88.50,L.Bianchi
2024-01-30,Marketing,Events,Conference tickets x2,€480.00,L.Bianchi
2024-02-05,Marketing,Software,Canva Pro annual,€119.99,L.Bianchi
2024-02-08,Marketing,Advertising,Google Ads February,€1350.00,L.Bianchi
2024-02-12,Marketing,Events,Venue deposit Q2 event,€2500.00,L.Bianchi
2024-02-15,Marketing,Software,SEO tool subscription,€99.00,L.Bianchi
2024-02-19,Marketing,Meals,Content agency lunch,€76.00,L.Bianchi
2024-02-22,Marketing,Advertising,Facebook retargeting,€420.00,L.Bianchi
2024-02-26,Marketing,Events,Speaker fee deposit,€800.00,L.Bianchi
