date,department,category,description,amount,approved_by
2024-01-06,HR,Training,Leadership course x3 employees,€900.00,G.Ferrari
2024-01-10,HR,Recruitment,Job board posting,€299.00,G.Ferrari
2024-01-13,HR,Training,Python course licences,€450.00,G.Ferrari
2024-01-18,HR,Office Supplies,Onboarding kits x2,€120.00,G.Ferrari
2024-01-23,HR,Recruitment,Background check service,€75.00,G.Ferrari
2024-01-26,HR,Training,Wellbeing workshop,€600.00,G.Ferrari
2024-02-02,HR,Recruitment,Headhunter fee,€3200.00,G.Ferrari
2024-02-07,HR,Training,Excel advanced course,€340.00,G.Ferrari
2024-02-10,HR,Office Supplies,Employee anniversary gifts,€210.00,G.Ferrari
2024-02-16,HR,Recruitment,LinkedIn recruiter monthly,€825.00,G.Ferrari
2024-02-20,HR,Training,Safety certification,€180.00,G.Ferrari
2024-02-23,HR,Office Supplies,Team building materials,€95.00,G.Ferrari
